Word,Form,TimePeriod,SentenceLength
Lehrerinnen,short,2010s,17
Lehrerinnen,short,2010s,21
Lehrerinnen,short,2010s,9
Lehrerinnen,short,2010s,17
Lehrerinnen,short,2010s,23
Lehrerinnen,short,2010s,5
Lehrerinnen,short,2010s,43
Lehrerinnen,short,2010s,39
Lehrerinnen,short,2010s,7
Lehrerinnen,short,2010s,21
Lehrerinnen,short,2010s,33
Lehrerinnen,short,2010s,33
Lehrerinnen,short,2010s,45
Lehrerinnen,short,2010s,14
Lehrerinnen,short,2010s,25
Lehrerinnen,short,2010s,23
Lehrerinnen,short,2010s,43
Lehrerinnen,short,2010s,11
Lehrerinnen,short,2010s,15
Lehrerinnen,short,2010s,21
Lehrerinnen,short,2010s,22
Lehrerinnen,short,2010s,30
Lehrerinnen,short,2010s,10
Lehrerinnen,short,2010s,24
Lehrerinnen,short,2010s,15
Lehrerinnen,short,2010s,26
Lehrerinnen,short,2010s,14
Lehrerinnen,short,2010s,30
Lehrerinnen,short,2010s,37
Lehrerinnen,short,2010s,11
Lehrerinnen,short,2010s,17
Lehrerinnen,short,2010s,17
Lehrerinnen,short,2010s,21
Lehrerinnen,short,2010s,20
Lehrerinnen,short,2010s,24
Lehrerinnen,short,2010s,17
Lehrerinnen,short,2010s,37
Lehrerinnen,short,2010s,3
Lehrerinnen,short,2010s,22
Lehrerinnen,short,2010s,22
Lehrerinnen,short,2010s,17
Lehrerinnen,short,2010s,37
Lehrerinnen,short,2010s,12
Lehrerinnen,short,2010s,90
Lehrerinnen,short,2010s,90
Lehrerinnen,short,2010s,2
Lehrerinnen,short,2010s,13
Lehrerinnen,short,2010s,28
Lehrerinnen,short,2010s,27
Lehrerinnen,short,2010s,23
Lehrerinnen,short,2000s,27
Lehrerinnen,short,2000s,14
Lehrerinnen,short,2000s,25
Lehrerinnen,short,2000s,30
Lehrerinnen,short,2000s,35
Lehrerinnen,short,2000s,38
Lehrerinnen,short,2000s,13
Lehrerinnen,short,2000s,22
Lehrerinnen,short,2000s,24
Lehrerinnen,short,2000s,6
Lehrerinnen,short,2000s,28
Lehrerinnen,short,2000s,16
Lehrerinnen,short,2000s,10
Lehrerinnen,short,2000s,23
Lehrerinnen,short,2000s,32
Lehrerinnen,short,2000s,54
Lehrerinnen,short,2000s,39
Lehrerinnen,short,2000s,16
Lehrerinnen,short,2000s,8
Lehrerinnen,short,2000s,33
Lehrerinnen,short,2000s,34
Lehrerinnen,short,2000s,14
Lehrerinnen,short,2000s,12
Lehrerinnen,short,2000s,11
Lehrerinnen,short,2000s,12
Lehrerinnen,short,2000s,23
Lehrerinnen,short,2000s,41
Lehrerinnen,short,2000s,39
Lehrerinnen,short,2000s,14
Lehrerinnen,short,2000s,9
