Word,Form,TimePeriod,SentenceLength
Autorinnen,short,2010s,8
Autorinnen,short,2010s,38
Autorinnen,short,2010s,32
Autorinnen,short,2010s,17
Autorinnen,short,2010s,111
Autorinnen,short,2010s,25
Autorinnen,short,2000s,24
Autorinnen,short,2000s,34
Autorinnen,short,2000s,9
Autorinnen,short,2000s,14
Autorinnen,short,2000s,24
Autorinnen,short,2000s,7
Autorinnen,short,2000s,13
Autorinnen,short,2000s,7
Autorinnen,short,2000s,20
Autorinnen,short,2000s,27
Autorinnen,short,2000s,35
Autorinnen,short,2000s,25
Autorinnen,short,2000s,22
Autorinnen,short,2000s,11
Autorinnen,short,2000s,18
Autorinnen,short,2000s,11
Autorinnen,short,2000s,33
Autorinnen,short,2000s,12
Autorinnen,short,2000s,34
Autorinnen,short,2000s,41
Autorinnen,short,2000s,13
Autorinnen,short,2000s,36
Autorinnen,short,2000s,9
Autorinnen,short,2000s,3
Autorinnen,short,2000s,95
Autorinnen,short,2000s,23
Autorinnen,short,2000s,35
Autorinnen,short,2000s,19
Autorinnen,short,2000s,11
Autorinnen,short,2000s,12
Autorinnen,short,2000s,21
Autorinnen,short,2000s,27
Autorinnen,short,2000s,19
Autorinnen,short,2000s,12
Autorinnen,short,2000s,23
Autorinnen,short,2000s,29
Autorinnen,short,2000s,21
Autorinnen,short,2000s,11
Autorinnen,short,2000s,22
Autorinnen,short,2000s,2
Autorinnen,short,2000s,52
Autorinnen,short,2000s,3
Autorinnen,short,2000s,10
Autorinnen,short,2000s,21
Autorinnen,short,2000s,4
Autorinnen,short,2000s,54
Autorinnen,short,2000s,43
Autorinnen,short,2000s,17
Autorinnen,short,2000s,11
Autorinnen,short,2000s,17
Autorinnen,short,2000s,13
Autorinnen,short,2000s,15
Autorinnen,short,2000s,22
Autorinnen,short,2000s,31
Autorinnen,short,2000s,30
Autorinnen,short,2000s,17
Autorinnen,short,2000s,8
Autorinnen,short,2000s,39
Autorinnen,short,2000s,36
Autorinnen,short,2000s,13
Autorinnen,short,2000s,77
Autorinnen,short,2000s,19
Autorinnen,short,2000s,6
Autorinnen,short,2000s,15
Autorinnen,short,2000s,6
Autorinnen,short,2000s,11
Autorinnen,short,2000s,8
Autorinnen,short,2000s,6
Autorinnen,short,2000s,15
Autorinnen,short,2000s,41
Autorinnen,short,2000s,38
Autorinnen,short,2000s,18
Autorinnen,short,2000s,21
Autorinnen,short,2000s,25
Autorinnen,short,2000s,15
Autorinnen,short,2000s,23
Autorinnen,short,2000s,22
Autorinnen,short,2000s,20
Autorinnen,short,2000s,18
Autorinnen,short,2000s,9
Autorinnen,short,2000s,12
Autorinnen,short,2000s,19
Autorinnen,short,2000s,11
Autorinnen,short,2000s,7
Autorinnen,short,2000s,17
Autorinnen,short,2000s,10
Autorinnen,short,2000s,22
Autorinnen,short,2000s,19
Autorinnen,short,2000s,21
Autorinnen,short,2000s,15
Autorinnen,short,2000s,34
Autorinnen,short,2000s,18
Autorinnen,short,2000s,21
Autorinnen,short,2000s,43
Autorinnen,short,2000s,13
Autorinnen,short,2000s,22
Autorinnen,short,2000s,12
Autorinnen,short,2000s,11
Autorinnen,short,2000s,24
Autorinnen,short,2000s,18
Autorinnen,short,2000s,7
Autorinnen,short,2000s,13
Autorinnen,short,2000s,29
Autorinnen,short,2000s,26
Autorinnen,short,2000s,11
Autorinnen,short,2000s,16
Autorinnen,short,2000s,7
Autorinnen,short,2000s,9
Autorinnen,short,2000s,8
Autorinnen,short,2000s,20
Autorinnen,short,2000s,10
Autorinnen,short,2000s,18
Autorinnen,short,2000s,3
Autorinnen,short,2000s,14
Autorinnen,short,2000s,12
Autorinnen,short,2000s,13
Autorinnen,short,2000s,7
Autorinnen,short,2000s,21
Autorinnen,short,2000s,7
Autorinnen,short,2000s,34
Autorinnen,short,2000s,14
Autorinnen,short,2000s,9
Autorinnen,short,2000s,20
Autorinnen,short,2000s,6
Autorinnen,short,2000s,33
Autorinnen,short,2000s,37
Autorinnen,short,2000s,20
Autorinnen,short,2000s,10
Autorinnen,short,2000s,69
Bürgerinnen,long,2010s,34
Bürgerinnen,long,2010s,11
Bürgerinnen,long,2010s,50
Bürgerinnen,long,2010s,21
Bürgerinnen,long,2010s,30
Bürgerinnen,long,2010s,47
Bürgerinnen,long,2010s,18
Bürgerinnen,long,2010s,25
Bürgerinnen,long,2010s,12
Bürgerinnen,long,2010s,20
Bürgerinnen,long,2010s,55
Bürgerinnen,long,2010s,18
Bürgerinnen,long,2010s,43
Bürgerinnen,long,2010s,21
Bürgerinnen,long,2010s,21
Bürgerinnen,long,2010s,59
Bürgerinnen,long,2010s,25
Bürgerinnen,long,2010s,17
Bürgerinnen,long,2010s,20
Bürgerinnen,long,2010s,38
Bürgerinnen,long,2010s,59
Bürgerinnen,long,2010s,20
Bürgerinnen,long,2010s,19
Bürgerinnen,long,2010s,18
Bürgerinnen,long,2010s,24
Bürgerinnen,long,2010s,29
Bürgerinnen,long,2010s,29
Bürgerinnen,long,2010s,24
Bürgerinnen,long,2010s,66
Bürgerinnen,long,2010s,101
Bürgerinnen,long,2010s,30
Bürgerinnen,long,2010s,40
Bürgerinnen,long,2010s,15
Bürgerinnen,long,2010s,12
Bürgerinnen,long,2010s,15
Bürgerinnen,long,2010s,27
Bürgerinnen,long,2010s,23
Bürgerinnen,long,2010s,10
Bürgerinnen,long,2010s,28
Bürgerinnen,long,2010s,36
Bürgerinnen,long,2010s,31
Bürgerinnen,long,2010s,22
Bürgerinnen,long,2000s,22
Bürgerinnen,long,2000s,31
Bürgerinnen,long,2000s,17
Bürgerinnen,long,2000s,13
Bürgerinnen,long,2010s,58
Bürgerinnen,long,2010s,30
Bürgerinnen,long,2010s,15
Bürgerinnen,long,2010s,13
Bürgerinnen,long,2010s,29
Bürgerinnen,long,2010s,23
Bürgerinnen,long,2010s,21
Bürgerinnen,long,2010s,40
Bürgerinnen,long,2010s,20
Bürgerinnen,long,2010s,26
Bürgerinnen,long,2010s,27
Bürgerinnen,long,2010s,43
Bürgerinnen,long,2010s,34
Bürgerinnen,long,2010s,26
Bürgerinnen,long,2010s,13
Bürgerinnen,long,2010s,5
Bürgerinnen,long,2010s,22
